"Sikkens ON-00-90 ","on-00-90","#f1efec"
"Sikkens EN-02-85","en-02-85","#eee8e1"
"Sikkens E5-05-77","e5-05-77","#d6c9b9"
"Sikkens E4-05-65","e4-05-65","#baaea3"
"Sikkens E4-05-55","e4-05-55","#9e948c"
"Sikkens E4-05-35","e4-05-35","#6c645e"
"Sikkens E4-05-20","e4-05-20","#494440"
"Sikkens EN-02-90","en-02-90","#f9f3ec"
"Sikkens E4-04-83","e4-04-83","#eee2d5"
"Sikkens E8-05-80","e8-05-80","#e7dbcc"
"Sikkens E8-07-77","e8-07-77","#e1d2c0"
"Sikkens E8-05-70","e8-05-70","#ccc2b7"
"Sikkens E8-03-60","e8-03-60","#aca59f"
"Sikkens E4-05-45","e4-05-45","#837a72"
"Sikkens E4-05-25","e4-05-25","#534d48"
"Sikkens E8-10-85","e8-10-85","#fbe5cd"
"Sikkens E8-10-80","e8-10-80","#ebdac4"
"Sikkens E8-10-75","e8-10-75","#ddc9b0"
"Sikkens E8-10-70","e8-10-70","#d3bea7"
"Sikkens E8-10-60","e8-10-60","#b0a08e"
"Sikkens E8-10-50","e8-10-50","#958676"
"Sikkens E8-15-35","e8-15-35","#6e5f4c"
"Sikkens E8-10-25","e8-10-25","#5e554d"
"Sikkens E8-15-85","e8-15-85","#fbe1c0"
"Sikkens E8-15-80","e8-15-80","#f3d6b4"
"Sikkens E6-18-76","e6-18-76","#f1cca3"
"Sikkens E8-15-75","e8-15-75","#dfc4a4"
"Sikkens E8-15-65","e8-15-65","#c9b092"
"Sikkens E8-15-55","e8-15-55","#ab957b"
"Sikkens E8-15-45","e8-15-45","#8a7762"
"Sikkens E8-20-40","e8-20-40","#867158"
"Sikkens E8-20-80","e8-20-80","#f7d3a5"
"Sikkens E8-20-75","e8-20-75","#f0cc9b"
"Sikkens E8-20-70","e8-20-70","#d9b88c"
"Sikkens E8-25-65","e8-25-65","#d1aa78"
"Sikkens E8-20-60","e8-20-60","#ba9b77"
"Sikkens E8-20-50","e8-20-50","#a08668"
"Sikkens E8-25-45","e8-25-45","#947857"
"Sikkens E8-20-30","e8-20-30","#685641"
"Sikkens E8-25-80","e8-25-80","#ffd293"
"Sikkens E8-25-75","e8-25-75","#efc38c"
"Sikkens E8-30-70","e8-30-70","#e7b776"
"Sikkens E8-35-65","e8-35-65","#d9a865"
"Sikkens E8-30-60","e8-30-60","#c49c6a"
"Sikkens E8-25-55","e8-25-55","#b49269"
"Sikkens E5-21-49","e5-21-49","#a68765"
"Sikkens E8-30-40","e8-30-40","#876a41"
"Sikkens E8-35-75","e8-35-75","#fcbe73"
"Sikkens E8-40-70","e8-40-70","#f0b05e"
"Sikkens E8-40-60","e8-40-60","#d49a4e"
"Sikkens E8-35-55","e8-35-55","#c09358"
"Sikkens E8-35-45","e8-35-45","#9d7541"
"Sikkens E8-40-40","e8-40-40","#8f6834"
"Sikkens E8-25-35","e8-25-35","#765e40"
"Sikkens E8-30-30","e8-30-30","#705738"
"Sikkens E9-44-73","e9-44-73","#fcbc58"
"Sikkens E8-50-70","e8-50-70","#f4b03f"
"Sikkens E8-55-70","e8-55-70","#fbaa32"
"Sikkens E8-60-60","e8-60-60","#e49317"
"Sikkens E8-50-60","e8-50-60","#d69a3a"
"Sikkens E8-50-50","e8-50-50","#ba8331"
"Sikkens E8-40-50","e8-40-50","#b28241"
"Sikkens E8-55-45","e8-55-45","#b3762b"
"Sikkens E9-29-79","e9-29-79","#ffcf87"
"Sikkens E7-36-76","e7-36-76","#ffc371"
"Sikkens F0-40-70","f0-40-70","#efb75d"
"Sikkens E8-49-73","e8-49-73","#ffb847"
"Sikkens E6-58-65","e6-58-65","#f0a127"
"Sikkens E7-72-58","e7-72-58","#dd8b00"
"Sikkens E6-63-53","e6-63-53","#cc8218"
"Sikkens E6-63-47","e6-63-47","#b67317"
"Sikkens F3-40-77","f3-40-77","#fecc64"
"Sikkens F2-45-75","f2-45-75","#ffc047"
"Sikkens F2-55-75","f2-55-75","#fcbb27"
"Sikkens F2-50-70","f2-50-70","#eeb337"
"Sikkens F2-70-65","f2-70-65","#f0a700"
"Sikkens F2-60-70","f2-60-70","#eeb028"
"Sikkens F2-60-60","f2-60-60","#d39710"
"Sikkens F2-50-50","f2-50-50","#a97f2c"
"Sikkens F3-33-80","f3-33-80","#ffd67d"
"Sikkens F2-35-80","f2-35-80","#fecd71"
"Sikkens F2-40-70","f2-40-70","#e9b858"
"Sikkens F2-50-65","f2-50-65","#dea835"
"Sikkens F2-50-60","f2-50-60","#cf9d32"
"Sikkens F2-50-55","f2-50-55","#bf912c"
"Sikkens F2-50-40","f2-50-40","#926a1f"
"Sikkens F2-40-30","f2-40-30","#735422"
"Sikkens F5-20-80","f5-20-80","#f2daa4"
"Sikkens F2-30-80","f2-30-80","#f9d38c"
"Sikkens F2-35-75","f2-35-75","#f3c573"
"Sikkens F2-35-65","f2-35-65","#d3a963"
"Sikkens F2-40-60","f2-40-60","#c79d50"
"Sikkens F2-40-50","f2-40-50","#a9853d"
"Sikkens F2-40-40","f2-40-40","#8a6a2f"
"Sikkens F2-30-30","f2-30-30","#695633"
"Sikkens F2-25-75","f2-25-75","#e8c78d"
"Sikkens F2-30-70","f2-30-70","#ddb976"
"Sikkens F2-25-65","f2-25-65","#cdaf79"
"Sikkens F2-30-60","f2-30-60","#c29f64"
"Sikkens F2-25-55","f2-25-55","#b49667"
"Sikkens F2-30-50","f2-30-50","#a58957"
"Sikkens F2-25-45","f2-25-45","#8f764f"
"Sikkens F2-30-40","f2-30-40","#886f44"
"Sikkens F2-15-85","f2-15-85","#fbdfb9"
"Sikkens F0-20-80","f0-20-80","#f4d3a7"
"Sikkens F0-24-80","f0-24-80","#fed69a"
"Sikkens F0-25-75","f0-25-75","#f0cd95"
"Sikkens F0-30-70","f0-30-70","#e5ba7a"
"Sikkens F0-25-70","f0-25-70","#d6b280"
"Sikkens F1-22-52","f1-22-52","#a18964"
"Sikkens F2-20-40","f2-20-40","#806d4f"
"Sikkens F0-10-85","f0-10-85","#f7e4cb"
"Sikkens F0-17-80","f0-17-80","#f2d6aa"
"Sikkens F2-15-80","f2-15-80","#efd7af"
"Sikkens F2-20-80","f2-20-80","#f2d4a3"
"Sikkens F2-20-70","f2-20-70","#d9bd91"
"Sikkens F2-20-60","f2-20-60","#bba27b"
"Sikkens F2-20-50","f2-20-50","#9a8564"
"Sikkens F2-20-30","f2-20-30","#635239"
"Sikkens F2-08-86","f2-08-86","#f9e9d2"
"Sikkens F2-10-80","f2-10-80","#ead8be"
"Sikkens F0-15-75","f0-15-75","#dec7a6"
"Sikkens F2-15-75","f2-15-75","#e5cca6"
"Sikkens F2-15-65","f2-15-65","#c1ad8d"
"Sikkens F2-15-55","f2-15-55","#a49276"
"Sikkens F2-15-45","f2-15-45","#897960"
"Sikkens F2-15-35","f2-15-35","#6f624e"
"Sikkens F2-07-88","f2-07-88","#faeedb"
"Sikkens F2-06-84","f2-06-84","#efe4d3"
"Sikkens F2-06-74","f2-06-74","#d6cebe"
"Sikkens F2-10-70","f2-10-70","#d0c0aa"
"Sikkens F2-10-60","f2-10-60","#b0a38f"
"Sikkens F2-10-50","f2-10-50","#968a79"
"Sikkens F2-10-40","f2-10-40","#776e5f"
"Sikkens F2-10-30","f2-10-30","#5e5446"
"Sikkens F2-05-87","f2-05-87","#f8efde"
"Sikkens F2-05-85","f2-05-85","#f3e8d8"
"Sikkens F2-03-84","f2-03-84","#ebe5dd"
"Sikkens F2-05-75","f2-05-75","#d3cbbf"
"Sikkens F2-05-65","f2-05-65","#b8b0a5"
"Sikkens F2-05-55","f2-05-55","#a09a91"
"Sikkens F2-05-45","f2-05-45","#817c74"
"Sikkens F2-05-35","f2-05-35","#69625a"
"Sikkens FN-02-88","fn-02-88","#f1ebe0"
"Sikkens FN-02-82","fn-02-82","#e3ddd4"
"Sikkens FN-02-77","fn-02-77","#d3cfc7"
"Sikkens FN-02-67","fn-02-67","#b3b0a8"
"Sikkens FN-02-57","fn-02-57","#9f9b94"
"Sikkens FN-02-47","fn-02-47","#84817c"
"Sikkens FN-02-37","fn-02-37","#6b6863"
"Sikkens FN-02-27","fn-02-27","#54514c"
"Sikkens F6-03-87","f6-03-87","#f3ece1"
"Sikkens F6-03-72","f6-03-72","#cbc6bd"
"Sikkens F6-05-70","f6-05-70","#c8bfb2"
"Sikkens F6-05-60","f6-05-60","#a8a195"
"Sikkens F6-05-50","f6-05-50","#908b80"
"Sikkens F6-05-40","f6-05-40","#756f67"
"Sikkens F6-05-30","f6-05-30","#5e5951"
"Sikkens F6-03-20","f6-03-20","#44413e"
"Sikkens FN-02-85","fn-02-85","#e9e6de"
"Sikkens F6-05-80","f6-05-80","#e3decc"
"Sikkens F6-10-80","f6-10-80","#e5d7be"
"Sikkens F6-10-70","f6-10-70","#c8baa2"
"Sikkens F6-10-60","f6-10-60","#aea28b"
"Sikkens F6-10-50","f6-10-50","#978d7b"
"Sikkens F6-10-40","f6-10-40","#786f60"
"Sikkens F6-10-30","f6-10-30","#5d574c"
"Sikkens F2-03-88","f2-03-88","#f5efe3"
"Sikkens F6-07-77","f6-07-77","#dacebb"
"Sikkens F6-15-75","f6-15-75","#dac8a4"
"Sikkens F6-15-65","f6-15-65","#beaf90"
"Sikkens F6-15-55","f6-15-55","#a6987c"
"Sikkens F8-16-48","f8-16-48","#8f8469"
"Sikkens F6-15-45","f6-15-45","#8b7f66"
"Sikkens F6-15-35","f6-15-35","#716652"
"Sikkens F6-07-82","f6-07-82","#ede1cb"
"Sikkens F6-15-80","f6-15-80","#ebd8af"
"Sikkens F6-20-80","f6-20-80","#eed5a4"
"Sikkens F6-20-70","f6-20-70","#d2be91"
"Sikkens F6-20-60","f6-20-60","#b19e74"
"Sikkens F6-20-50","f6-20-50","#978664"
"Sikkens F6-20-40","f6-20-40","#7e6f4f"
"Sikkens F6-20-30","f6-20-30","#5d5239"
"Sikkens F6-05-85","f6-05-85","#f2ecdd"
"Sikkens F6-15-85","f6-15-85","#f8e4bb"
"Sikkens F6-25-80","f6-25-80","#f4d894"
"Sikkens F6-25-75","f6-25-75","#e7ce95"
"Sikkens F6-25-70","f6-25-70","#d4bd81"
"Sikkens F6-25-65","f6-25-65","#c9b077"
"Sikkens F6-30-50","f6-30-50","#9a8450"
"Sikkens F6-30-30","f6-30-30","#685938"
"Sikkens F6-09-86","f6-09-86","#faecd1"
"Sikkens F6-20-83","f6-20-83","#f9e3ac"
"Sikkens F6-26-81","f6-26-81","#fcdb94"
"Sikkens F6-35-75","f6-35-75","#e8c570"
"Sikkens F6-30-70","f6-30-70","#debc6a"
"Sikkens F6-35-65","f6-35-65","#cbae67"
"Sikkens F6-30-60","f6-30-60","#baa268"
"Sikkens F6-30-40","f6-30-40","#85744d"
"Sikkens F6-25-85","f6-25-85","#fcdf9e"
"Sikkens F6-30-80","f6-30-80","#fbd688"
"Sikkens F6-40-80","f6-40-80","#fbcf67"
"Sikkens F6-40-70","f6-40-70","#dfbb59"
"Sikkens F6-40-60","f6-40-60","#c2a14b"
"Sikkens F6-40-50","f6-40-50","#9c8138"
"Sikkens F6-40-40","f6-40-40","#866f38"
"Sikkens F6-40-30","f6-40-30","#66572a"
"Sikkens F8-15-80","f8-15-80","#e9d8ad"
"Sikkens F8-20-80","f8-20-80","#ebd7a6"
"Sikkens F8-20-75","f8-20-75","#e0d09f"
"Sikkens F8-30-70","f8-30-70","#d6be78"
"Sikkens F8-40-70","f8-40-70","#dbbf64"
"Sikkens F8-40-60","f8-40-60","#bfa44d"
"Sikkens F8-45-55","f8-45-55","#b79b3a"
"Sikkens F8-41-46","f8-41-46","#95803e"
"Sikkens F8-25-81","f8-25-81","#efd897"
"Sikkens F8-30-80","f8-30-80","#f4d686"
"Sikkens F6-45-75","f6-45-75","#f1c34a"
"Sikkens F6-55-75","f6-55-75","#f7c636"
"Sikkens F6-50-70","f6-50-70","#e2bb34"
"Sikkens F6-50-60","f6-50-60","#bea035"
"Sikkens F6-50-50","f6-50-50","#a58329"
"Sikkens F6-50-40","f6-50-40","#896e28"
"Sikkens G0-31-84","g0-31-84","#f7de82"
"Sikkens F8-40-80","f8-40-80","#fdda69"
"Sikkens F8-50-80","f8-50-80","#fdd244"
"Sikkens F8-60-80","f8-60-80","#ffd424"
"Sikkens F6-60-70","f6-60-70","#e3b712"
"Sikkens F6-70-70","f6-70-70","#ebb800"
"Sikkens F6-60-60","f6-60-60","#c69e21"
"Sikkens F6-55-54","f6-55-54","#b39023"
"Sikkens G0-35-85","g0-35-85","#f6e283"
"Sikkens G0-40-80","g0-40-80","#f1d86d"
"Sikkens G0-45-80","g0-45-80","#fbdc61"
"Sikkens G0-50-80","g0-50-80","#f7db48"
"Sikkens G0-55-80","g0-55-80","#f8db34"
"Sikkens G0-60-70","g0-60-70","#dfbe02"
"Sikkens G0-55-70","g0-55-70","#dbbd25"
"Sikkens G0-60-60","g0-60-60","#bb9f1b"
"Sikkens G3-34-84","g3-34-84","#f9e780"
"Sikkens G2-51-81","g2-51-81","#f6e04a"
"Sikkens G1-57-79","g1-57-79","#f1d72b"
"Sikkens G0-60-75","g0-60-75","#e8ce0d"
"Sikkens G0-70-76","g0-70-76","#f2d400"
"Sikkens G0-50-70","g0-50-70","#d9bb3d"
"Sikkens G0-50-60","g0-50-60","#bba12f"
"Sikkens G0-50-50","g0-50-50","#a08c2a"
"Sikkens G5-27-85","g5-27-85","#f6ed9a"
"Sikkens G4-34-84","g4-34-84","#f5ea84"
"Sikkens G3-46-83","g3-46-83","#f6e455"
"Sikkens G0-35-75","g0-35-75","#e1cc6e"
"Sikkens G0-40-70","g0-40-70","#cdb85c"
"Sikkens G0-40-60","g0-40-60","#b49f4b"
"Sikkens G0-40-50","g0-40-50","#96883d"
"Sikkens G0-40-40","g0-40-40","#7d6f30"
"Sikkens G0-25-85","g0-25-85","#fae59e"
"Sikkens G0-30-80","g0-30-80","#efd886"
"Sikkens G0-25-75","g0-25-75","#e1ce90"
"Sikkens G0-30-70","g0-30-70","#d4be75"
"Sikkens G0-25-65","g0-25-65","#c6b378"
"Sikkens G0-30-60","g0-30-60","#b4a264"
"Sikkens G0-30-50","g0-30-50","#978953"
"Sikkens G0-30-30","g0-30-30","#625934"
"Sikkens G0-15-85","g0-15-85","#f9ebbc"
"Sikkens G0-20-80","g0-20-80","#eddba3"
"Sikkens G0-20-70","g0-20-70","#cfbf8c"
"Sikkens G0-20-60","g0-20-60","#b4a57a"
"Sikkens G0-20-50","g0-20-50","#928762"
"Sikkens G0-20-40","g0-20-40","#7c7252"
"Sikkens G0-20-30","g0-20-30","#5f573e"
"Sikkens G0-20-20","g0-20-20","#494332"
"Sikkens GN-02-90","gn-02-90","#f6f2e6"
"Sikkens G0-08-84","g0-08-84","#ebe0c4"
"Sikkens G0-10-80","g0-10-80","#e3d6ba"
"Sikkens G0-10-75","g0-10-75","#d6cbae"
"Sikkens G0-15-75","g0-15-75","#d9c9a1"
"Sikkens G0-15-65","g0-15-65","#baae8c"
"Sikkens G0-10-50","g0-10-50","#908975"
"Sikkens G0-10-30","g0-10-30","#5c5749"
"Sikkens G0-05-88","g0-05-88","#f5efdb"
"Sikkens G0-08-88","g0-08-88","#f8eed3"
"Sikkens G0-09-85","g0-09-85","#f2e9cc"
"Sikkens G1-13-79","g1-13-79","#e3d8b3"
"Sikkens G0-10-70","g0-10-70","#cac1a6"
"Sikkens G0-10-65","g0-10-65","#bbb39d"
"Sikkens G0-10-60","g0-10-60","#aca38e"
"Sikkens G0-10-40","g0-10-40","#736d5e"
"Sikkens GN-01-88","gn-01-88","#f6f5ea"
"Sikkens G4-04-88","g4-04-88","#f5f0df"
"Sikkens G0-05-85","g0-05-85","#ebe5d2"
"Sikkens G0-05-75","g0-05-75","#d4cebe"
"Sikkens G0-05-65","g0-05-65","#b6b2a5"
"Sikkens G0-05-55","g0-05-55","#9d988d"
"Sikkens G0-05-45","g0-05-45","#807d74"
"Sikkens G0-05-25","g0-05-25","#4a4742"
"Sikkens GN-00-88","gn-00-88","#efefec"
"Sikkens G4-03-88","g4-03-88","#f5f2e7"
"Sikkens G0-03-86","g0-03-86","#ebe8db"
"Sikkens G0-04-84","g0-04-84","#e9e4d6"
"Sikkens G0-05-80","g0-05-80","#e0d9ca"
"Sikkens G0-05-70","g0-05-70","#c5bfb1"
"Sikkens G4-05-55","g4-05-55","#9d9a90"
"Sikkens G0-05-35","g0-05-35","#67645d"
"Sikkens G4-04-84","g4-04-84","#ede9d9"
"Sikkens G4-08-83","g4-08-83","#eae5cc"
"Sikkens G4-05-81","g4-05-81","#e0dccd"
"Sikkens G4-07-80","g4-07-80","#e1d9c5"
"Sikkens G4-05-77","g4-05-77","#d6d1c2"
"Sikkens G4-10-70","g4-10-70","#c6bea2"
"Sikkens G4-10-60","g4-10-60","#aba691"
"Sikkens G8-10-40","g8-10-40","#727160"
"Sikkens G4-08-88","g4-08-88","#f7f3da"
"Sikkens G4-13-85","g4-13-85","#f4ebc4"
"Sikkens G4-15-85","g4-15-85","#f1e8b9"
"Sikkens G4-10-80","g4-10-80","#e3dfc4"
"Sikkens G4-15-75","g4-15-75","#d3cca3"
"Sikkens G4-20-70","g4-20-70","#cdc693"
"Sikkens G4-15-65","g4-15-65","#bab392"
"Sikkens G4-20-50","g4-20-50","#8d8660"
"Sikkens G8-06-90","g8-06-90","#f4f1dd"
"Sikkens G8-06-85","g8-06-85","#e9e6d1"
"Sikkens G8-10-85","g8-10-85","#efeacc"
"Sikkens G8-10-80","g8-10-80","#e3e0bc"
"Sikkens G8-10-70","g8-10-70","#c2c0a7"
"Sikkens G8-10-60","g8-10-60","#a6a58c"
"Sikkens G8-10-50","g8-10-50","#8d8a77"
"Sikkens G8-10-30","g8-10-30","#555345"
"Sikkens G9-13-85","g9-13-85","#edecc0"
"Sikkens G8-20-85","g8-20-85","#ece7ad"
"Sikkens G8-20-80","g8-20-80","#dedba2"
"Sikkens G8-20-70","g8-20-70","#c4c492"
"Sikkens G8-20-60","g8-20-60","#aaa97c"
"Sikkens G8-20-50","g8-20-50","#8b8963"
"Sikkens G8-20-40","g8-20-40","#747453"
"Sikkens G8-20-30","g8-20-30","#5a583d"
"Sikkens G7-18-87","g7-18-87","#f6f2b6"
"Sikkens G8-20-90","g8-20-90","#f2f1b1"
"Sikkens G8-30-85","g8-30-85","#eef090"
"Sikkens G8-30-80","g8-30-80","#e1e388"
"Sikkens G8-30-70","g8-30-70","#c7c375"
"Sikkens G8-30-60","g8-30-60","#aba866"
"Sikkens G8-30-50","g8-30-50","#909055"
"Sikkens G8-30-30","g8-30-30","#5b5b35"
"Sikkens G5-24-85","g5-24-85","#f6ed9f"
"Sikkens G5-36-83","g5-36-83","#f2e877"
"Sikkens G8-40-80","g8-40-80","#e1e56f"
"Sikkens G8-40-70","g8-40-70","#c6c554"
"Sikkens G8-40-60","g8-40-60","#a5a649"
"Sikkens G8-40-50","g8-40-50","#8c8b3e"
"Sikkens G8-30-40","g8-30-40","#737340"
"Sikkens G8-30-20","g8-30-20","#454426"
"Sikkens G3-26-85","g3-26-85","#f8eca4"
"Sikkens G4-30-80","g4-30-80","#eae091"
"Sikkens G4-30-70","g4-30-70","#cbbe70"
"Sikkens G4-40-70","g4-40-70","#cfc15a"
"Sikkens G4-40-60","g4-40-60","#afa347"
"Sikkens G4-30-60","g4-30-60","#b0a763"
"Sikkens G4-30-50","g4-30-50","#958c53"
"Sikkens G4-25-35","g4-25-35","#6d6943"
"Sikkens G4-40-80","g4-40-80","#e8da67"
"Sikkens G4-50-80","g4-50-80","#e6d846"
"Sikkens G4-50-70","g4-50-70","#c7bf3a"
"Sikkens G4-60-70","g4-60-70","#c8bf0a"
"Sikkens G4-60-60","g4-60-60","#b1a400"
"Sikkens G4-50-60","g4-50-60","#ada12d"
"Sikkens G4-40-50","g4-40-50","#958b3b"
"Sikkens G4-50-50","g4-50-50","#968c28"
"Sikkens G8-45-80","g8-45-80","#d9dd49"
"Sikkens G8-50-70","g8-50-70","#bcc032"
"Sikkens G7-57-66","g7-57-66","#b9be2a"
"Sikkens G8-60-60","g8-60-60","#aaaa15"
"Sikkens G8-50-60","g8-50-60","#a4a834"
"Sikkens G8-50-50","g8-50-50","#8e8c24"
"Sikkens G8-40-40","g8-40-40","#757735"
"Sikkens G8-40-30","g8-40-30","#5b5d2c"
"Sikkens H1-39-83","h1-39-83","#deec73"
"Sikkens G9-56-76","g9-56-76","#ccdb32"
"Sikkens G8-60-70","g8-60-70","#bdc51a"
"Sikkens H2-55-65","h2-55-65","#a4bc2e"
"Sikkens H2-60-60","h2-60-60","#97af10"
"Sikkens H2-50-60","h2-50-60","#9cab31"
"Sikkens H2-50-50","h2-50-50","#848e28"
"Sikkens H2-45-45","h2-45-45","#788534"
"Sikkens G9-27-84","g9-27-84","#e8ec97"
"Sikkens G9-35-84","g9-35-84","#e6ec7e"
"Sikkens H2-40-80","h2-40-80","#d6e066"
"Sikkens H2-45-75","h2-45-75","#c5d658"
"Sikkens H2-50-70","h2-50-70","#b4c83d"
"Sikkens H2-40-70","h2-40-70","#bbc85e"
"Sikkens H2-40-60","h2-40-60","#a2a94d"
"Sikkens H2-40-50","h2-40-50","#8a9345"
"Sikkens H2-15-85","h2-15-85","#eaf0bb"
"Sikkens H2-30-80","h2-30-80","#d3df86"
"Sikkens H3-24-78","h3-24-78","#d2dc97"
"Sikkens H2-20-70","h2-20-70","#bfc48e"
"Sikkens H2-30-70","h2-30-70","#bbc376"
"Sikkens H2-30-60","h2-30-60","#9faa65"
"Sikkens H2-30-50","h2-30-50","#858c54"
"Sikkens H2-35-30","h2-35-30","#585c30"
"Sikkens H4-06-85","h4-06-85","#eaedd8"
"Sikkens H2-07-87","h2-07-87","#efefd5"
"Sikkens H6-06-80","h6-06-80","#dcdec6"
"Sikkens H3-12-78","h3-12-78","#d3d8b4"
"Sikkens H4-16-70","h4-16-70","#bbc399"
"Sikkens H3-18-60","h3-18-60","#a2a87f"
"Sikkens H2-20-50","h2-20-50","#898c63"
"Sikkens H2-25-30","h2-25-30","#56593b"
"Sikkens H2-08-90","h2-08-90","#f5f4d8"
"Sikkens H2-04-88","h2-04-88","#f1f1df"
"Sikkens H2-08-80","h2-08-80","#e0dec8"
"Sikkens H2-10-80","h2-10-80","#ddddc1"
"Sikkens H2-10-70","h2-10-70","#bec0a5"
"Sikkens H2-10-60","h2-10-60","#a6a990"
"Sikkens H3-10-43","h3-10-43","#787a68"
"Sikkens H2-12-25","h2-12-25","#4e4f41"
"Sikkens H2-03-90","h2-03-90","#f6f5e5"
"Sikkens HN-02-85","hn-02-85","#e9e9de"
"Sikkens HN-02-88","hn-02-88","#f0efe7"
"Sikkens H2-03-82","h2-03-82","#e0e1d6"
"Sikkens H3-04-72","h3-04-72","#c5c6b9"
"Sikkens H2-05-65","h2-05-65","#b2b2a6"
"Sikkens H2-05-55","h2-05-55","#969588"
"Sikkens H2-05-45","h2-05-45","#83847b"
"Sikkens J0-04-88","j0-04-88","#eff3e2"
"Sikkens JN-02-82","jn-02-82","#dee2d9"
"Sikkens J0-05-75","j0-05-75","#c9cfbc"
"Sikkens J0-05-65","j0-05-65","#b0b4a5"
"Sikkens J0-05-55","j0-05-55","#95988b"
"Sikkens J0-05-45","j0-05-45","#7c7e74"
"Sikkens J0-05-35","j0-05-35","#64665e"
"Sikkens J0-05-25","j0-05-25","#4c4d46"
"Sikkens J0-05-85","j0-05-85","#e3e6d3"
"Sikkens J0-07-82","j0-07-82","#dde4cc"
"Sikkens J0-07-77","j0-07-77","#cfd6be"
"Sikkens J0-10-70","j0-10-70","#b9c1a7"
"Sikkens J0-10-60","j0-10-60","#a2a893"
"Sikkens J0-10-50","j0-10-50","#868c78"
"Sikkens J0-10-40","j0-10-40","#6e7263"
"Sikkens J0-10-30","j0-10-30","#56594b"
"Sikkens J0-15-85","j0-15-85","#ddeebd"
"Sikkens J0-10-80","j0-10-80","#d1dcbd"
"Sikkens J0-15-75","j0-15-75","#c5d2a6"
"Sikkens J0-15-65","j0-15-65","#aab791"
"Sikkens J0-20-60","j0-20-60","#9aaa7b"
"Sikkens J0-20-50","j0-20-50","#7b8b64"
"Sikkens J0-20-40","j0-20-40","#697453"
"Sikkens J0-15-25","j0-15-25","#4d5341"
"Sikkens J0-20-80","j0-20-80","#cbe1a5"
"Sikkens J0-20-70","j0-20-70","#b2c492"
"Sikkens J0-30-70","j0-30-70","#abc578"
"Sikkens J0-30-60","j0-30-60","#93aa69"
"Sikkens J0-30-50","j0-30-50","#7f925a"
"Sikkens J0-30-40","j0-30-40","#617545"
"Sikkens J0-20-30","j0-20-30","#51593d"
"Sikkens J0-20-20","j0-20-20","#414836"
"Sikkens H9-21-83","h9-21-83","#d6ebad"
"Sikkens J0-30-80","j0-30-80","#c6e08b"
"Sikkens J0-40-70","j0-40-70","#9bc962"
"Sikkens J0-40-60","j0-40-60","#8aae52"
"Sikkens J0-40-50","j0-40-50","#6e8e3d"
"Sikkens J0-40-40","j0-40-40","#60783b"
"Sikkens J0-30-30","j0-30-30","#57633e"
"Sikkens J0-30-20","j0-30-20","#3e4828"
"Sikkens H7-22-83","h7-22-83","#d6eba4"
"Sikkens H7-38-79","h7-38-79","#c3e571"
"Sikkens J0-48-70","j0-48-70","#9bcc4c"
"Sikkens J0-50-60","j0-50-60","#7fad3a"
"Sikkens J0-50-50","j0-50-50","#6c9331"
"Sikkens J0-60-50","j0-60-50","#6a9520"
"Sikkens J0-50-40","j0-50-40","#5c7829"
"Sikkens J0-40-30","j0-40-30","#4a5e25"
"Sikkens J1-21-83","j1-21-83","#d0ebae"
"Sikkens J6-26-76","j6-26-76","#a3d58d"
"Sikkens J8-41-70","j8-41-70","#87d372"
"Sikkens J6-39-63","j6-39-63","#84bd66"
"Sikkens J6-45-53","j6-45-53","#68a04a"
"Sikkens J6-51-43","j6-51-43","#4f8639"
"Sikkens J7-41-35","j7-41-35","#4a6f38"
"Sikkens J4-44-25","j4-44-25","#375328"
"Sikkens J9-19-80","j9-19-80","#bfe6b1"
"Sikkens K0-28-76","k0-28-76","#a4dd95"
"Sikkens J8-48-64","j8-48-64","#72c456"
"Sikkens K2-50-60","k2-50-60","#54b552"
"Sikkens K2-50-50","k2-50-50","#449944"
"Sikkens K2-50-40","k2-50-40","#3d823a"
"Sikkens K2-60-40","k2-60-40","#2b872f"
"Sikkens K6-50-30","k6-50-30","#2d6837"
"Sikkens J6-11-83","j6-11-83","#cee5c1"
"Sikkens K0-26-76","k0-26-76","#a8dd9a"
"Sikkens K2-40-70","k2-40-70","#80d074"
"Sikkens K2-40-60","k2-40-60","#6eb264"
"Sikkens K2-40-50","k2-40-50","#589954"
"Sikkens K2-40-40","k2-40-40","#497c43"
"Sikkens K2-40-30","k2-40-30","#396234"
"Sikkens K2-45-20","k2-45-20","#2f4f2e"
"Sikkens K0-19-78","k0-19-78","#bde3b2"
"Sikkens K5-21-77","k5-21-77","#a8ddac"
"Sikkens K6-34-67","k6-34-67","#7bc883"
"Sikkens K5-44-64","k5-44-64","#5cc56b"
"Sikkens K7-48-56","k7-48-56","#3db160"
"Sikkens K7-58-44","k7-58-44","#088e45"
"Sikkens K7-60-30","k7-60-30","#00692d"
"Sikkens K4-54-23","k4-54-23","#29572c"
"Sikkens K2-10-80","k2-10-80","#cbe0c5"
"Sikkens K2-21-72","k2-21-72","#a2d09c"
"Sikkens K2-30-70","k2-30-70","#90cd87"
"Sikkens K2-30-60","k2-30-60","#78ae72"
"Sikkens K2-30-50","k2-30-50","#699662"
"Sikkens K2-30-40","k2-30-40","#4f774b"
"Sikkens K2-30-30","k2-30-30","#42623f"
"Sikkens K2-29-20","k2-29-20","#344933"
